iter	Passed	Remaining
825	15095	39730
826	15112	39708
827	15132	39695
828	15149	39673
829	15165	39650
830	15182	39626
831	15201	39610
832	15218	39590
833	15235	39568
834	15253	39549
835	15271	39530
836	15289	39510
837	15309	39497
838	15327	39478
839	15345	39459
840	15363	39440
841	15379	39417
842	15396	39395
843	15414	39377
844	15432	39357
845	15449	39335
846	15467	39316
847	15484	39295
848	15500	39272
849	15520	39258
850	15537	39236
851	15554	39215
852	15571	39194
853	15588	39172
854	15606	39152
855	15621	39127
856	15639	39106
857	15661	39097
858	15677	39075
859	15695	39056
860	15711	39032
861	15730	39017
862	15747	38993
863	15765	38974
864	15780	38949
865	15796	38925
866	15813	38905
867	15830	38882
868	15849	38866
869	15865	38843
870	15885	38829
871	15901	38806
872	15919	38786
873	15937	38767
874	15953	38744
875	15970	38722
876	15986	38700
877	16003	38678
878	16023	38664
879	16041	38644
880	16060	38628
881	16078	38610
882	16100	38602
883	16121	38589
884	16144	38582
885	16167	38574
886	16190	38569
887	16212	38559
888	16231	38544
889	16252	38532
890	16272	38517
891	16295	38508
892	16322	38512
893	16349	38514
894	16375	38514
895	16395	38500
896	16417	38489
897	16434	38469
898	16456	38458
899	16473	38437
900	16491	38419
901	16508	38396
902	16524	38374
903	16540	38351
904	16557	38328
905	16581	38324
906	16599	38304
907	16616	38284
908	16635	38267
909	16651	38244
910	16671	38228
911	16688	38207
912	16706	38188
913	16723	38167
914	16741	38149
915	16762	38135
916	16780	38118
917	16798	38097
918	16814	38075
919	16832	38057
920	16850	38038
921	16866	38014
922	16882	37991
923	16899	37968
924	16916	37947
925	16933	37925
926	16949	37903
927	16966	37882
928	16984	37864
929	17001	37842
930	17019	37823
931	17037	37804
932	17055	37785
933	17073	37767
934	17093	37751
935	17111	37732
936	17127	37709
937	17144	37688
938	17161	37667
939	17177	37644
940	17193	37622
941	17212	37603
942	17229	37582
943	17249	37569
944	17269	37553
945	17286	37532
946	17303	37511
947	17324	37500
948	17346	37489
949	17370	37483
950	17394	37478
951	17412	37458
952	17429	37437
953	17449	37423
954	17473	37418
955	17494	37404
956	17514	37390
957	17533	37373
958	17550	37352
959	17567	37330
960	17586	37314
961	17602	37291
962	17620	37271
963	17637	37251
964	17655	37232
965	17674	37214
966	17695	37203
967	17714	37185
968	17733	37168
969	17752	37152
970	17775	37143
971	17795	37128
972	17812	37107
973	17828	37085
974	17845	37064
975	17862	37043
976	17878	37020
977	17895	36998
978	17912	36978
979	17931	36960
980	17950	36943
981	17968	36925
982	17985	36904
983	18001	36880
984	18019	36862
985	18037	36843
986	18054	36822
987	18072	36803
988	18091	36787
989	18108	36765
990	18126	36747
991	18144	36727
992	18159	36704
993	18176	36682
994	18193	36660
995	18212	36644
996	18233	36631
997	18250	36611
998	18272	36598
999	18295	36591
1000	18315	36576
1001	18334	36559
1002	18355	36546
1003	18377	36534
1004	18400	36525
1005	18422	36515
1006	18440	36496
1007	18458	36478
1008	18477	36460
1009	18496	36442
1010	18513	36422
1011	18533	36407
1012	18553	36391
1013	18573	36378
1014	18595	36366
1015	18615	36350
1016	18636	36337
1017	18655	36320
1018	18675	36305
1019	18692	36285
1020	18711	36269
1021	18731	36253
1022	18751	36238
1023	18768	36216
1024	18786	36198
1025	18806	36182
1026	18824	36163
1027	18843	36148
1028	18861	36128
1029	18879	36109
1030	18896	36088
1031	18916	36073
1032	18932	36050
1033	18949	36029
1034	18966	36008
1035	18985	35991
1036	19002	35970
1037	19018	35948
1038	19038	35932
1039	19057	35916
1040	19076	35899
1041	19094	35880
1042	19115	35866
1043	19138	35856
1044	19156	35838
1045	19173	35817
1046	19191	35798
1047	19209	35780
1048	19227	35761
1049	19245	35742
1050	19264	35724
1051	19281	35704
1052	19302	35689
1053	19322	35674
1054	19340	35655
1055	19360	35641
1056	19380	35625
1057	19400	35609
1058	19422	35598
1059	19440	35580
1060	19461	35566
1061	19478	35546
1062	19500	35533
1063	19519	35516
1064	19538	35499
1065	19557	35481
1066	19575	35463
1067	19592	35442
1068	19613	35428
1069	19631	35409
1070	19651	35393
1071	19670	35378
1072	19689	35360
1073	19708	35342
1074	19727	35325
1075	19747	35310
1076	19767	35295
1077	19785	35277
1078	19808	35265
1079	19830	35254
1080	19853	35244
1081	19871	35224
1082	19890	35207
1083	19909	35191
1084	19929	35175
1085	19947	35155
1086	19968	35141
1087	19987	35125
1088	20008	35111
1089	20027	35094
1090	20045	35075
1091	20063	35055
1092	20082	35037
1093	20102	35022
1094	20120	35004
1095	20138	34985
1096	20158	34969
1097	20177	34952
1098	20197	34937
1099	20218	34922
1100	20237	34905
1101	20255	34887
1102	20274	34869
1103	20292	34851
1104	20312	34834
1105	20334	34822
1106	20357	34811
1107	20376	34793
1108	20396	34778
1109	20416	34763
1110	20433	34743
1111	20456	34732
1112	20479	34720
1113	20502	34710
1114	20524	34698
1115	20542	34679
1116	20562	34662
1117	20581	34646
1118	20599	34627
1119	20620	34612
1120	20638	34594
1121	20658	34578
1122	20678	34562
1123	20699	34548
1124	20723	34539
1125	20742	34521
1126	20761	34503
1127	20783	34492
1128	20805	34478
1129	20823	34460
1130	20844	34445
1131	20864	34430
1132	20883	34412
1133	20900	34391
1134	20918	34373
1135	20938	34356
1136	20956	34338
1137	20975	34320
1138	20996	34305
1139	21016	34290
1140	21035	34273
1141	21058	34260
1142	21077	34243
1143	21094	34224
1144	21113	34205
1145	21131	34187
1146	21149	34168
1147	21167	34148
1148	21184	34127
1149	21203	34110
1150	21223	34094
1151	21244	34080
1152	21263	34061
1153	21282	34044
1154	21300	34026
1155	21317	34004
1156	21334	33983
1157	21351	33962
1158	21370	33946
1159	21389	33928
1160	21408	33910
1161	21428	33894
1162	21448	33878
1163	21467	33861
1164	21487	33844
1165	21505	33826
1166	21522	33805
1167	21540	33786
1168	21560	33769
1169	21580	33754
1170	21597	33733
1171	21618	33718
1172	21638	33702
1173	21656	33683
1174	21674	33665
1175	21695	33650
1176	21716	33635
1177	21734	33617
1178	21752	33597
1179	21770	33577
1180	21791	33563
1181	21811	33547
1182	21830	33530
1183	21851	33514
1184	21871	33499
1185	21891	33483
1186	21909	33463
1187	21926	33442
1188	21945	33425
1189	21965	33410
1190	21986	33395
1191	22004	33376
1192	22024	33360
1193	22046	33346
1194	22067	33332
1195	22088	33317
1196	22108	33300
1197	22125	33281
1198	22144	33262
1199	22161	33242
1200	22179	33222
1201	22196	33202
1202	22216	33185
1203	22233	33165
1204	22252	33148
1205	22270	33129
1206	22292	33115
1207	22311	33097
1208	22329	33078
1209	22349	33062
1210	22368	33044
1211	22387	33026
1212	22405	33007
1213	22423	32989
1214	22443	32971
1215	22461	32953
1216	22482	32937
1217	22500	32918
1218	22519	32901
1219	22536	32881
1220	22553	32861
1221	22571	32841
1222	22588	32820
1223	22604	32798
1224	22620	32776
1225	22636	32755
1226	22653	32733
1227	22669	32712
1228	22688	32693
1229	22705	32673
1230	22723	32654
1231	22739	32633
1232	22757	32613
1233	22774	32593
1234	22790	32571
1235	22808	32552
1236	22825	32531
1237	22842	32510
1238	22858	32489
1239	22876	32469
1240	22892	32447
1241	22910	32428
1242	22928	32409
1243	22945	32388
1244	22964	32371
1245	22981	32351
1246	22998	32330
1247	23016	32311
1248	23032	32289
1249	23050	32270
1250	23069	32252
1251	23089	32236
1252	23106	32215
1253	23122	32194
1254	23139	32173
1255	23157	32154
1256	23174	32134
1257	23190	32113
1258	23205	32090
1259	23221	32068
1260	23239	32048
1261	23255	32026
1262	23274	32009
1263	23292	31990
1264	23308	31968
1265	23326	31949
1266	23342	31927
1267	23359	31906
1268	23378	31889
1269	23394	31867
1270	23410	31846
1271	23427	31825
1272	23443	31804
1273	23461	31785
1274	23479	31766
1275	23498	31748
1276	23515	31727
1277	23534	31710
1278	23553	31693
1279	23570	31672
1280	23587	31652
1281	23605	31634
1282	23623	31615
1283	23640	31594
1284	23657	31573
1285	23673	31552
1286	23691	31532
1287	23708	31512
1288	23726	31494
1289	23743	31473
1290	23758	31451
1291	23774	31430
1292	23791	31408
1293	23809	31389
1294	23825	31368
1295	23843	31349
1296	23860	31329
1297	23877	31309
1298	23893	31287
1299	23911	31269
1300	23927	31247
1301	23944	31226
1302	23959	31204
1303	23975	31182
1304	23992	31162
1305	24008	31141
1306	24025	31120
1307	24041	31099
1308	24059	31080
1309	24076	31060
1310	24092	31038
1311	24108	31017
1312	24124	30996
1313	24145	30980
1314	24161	30960
1315	24180	30941
1316	24200	30925
1317	24217	30905
1318	24234	30885
1319	24252	30867
1320	24270	30848
1321	24287	30828
1322	24304	30807
1323	24321	30787
1324	24338	30767
1325	24357	30750
1326	24374	30730
1327	24391	30710
1328	24408	30689
1329	24425	30669
1330	24441	30647
1331	24457	30627
1332	24476	30609
1333	24495	30591
1334	24512	30572
1335	24531	30553
1336	24546	30532
1337	24564	30513
1338	24581	30492
1339	24598	30472
1340	24614	30451
1341	24631	30431
1342	24649	30412
1343	24665	30391
1344	24684	30373
1345	24702	30354
1346	24718	30334
1347	24736	30314
1348	24752	30293
1349	24770	30275
1350	24787	30255
1351	24804	30234
1352	24823	30217
1353	24840	30197
1354	24857	30177
1355	24875	30159
1356	24893	30140
1357	24909	30119
1358	24926	30098
1359	24942	30077
1360	24959	30057
1361	24978	30039
1362	24995	30020
1363	25013	30001
1364	25030	29981
1365	25046	29960
1366	25063	29940
1367	25079	29919
1368	25095	29898
1369	25111	29877
1370	25129	29857
1371	25145	29837
1372	25165	29820
1373	25181	29800
1374	25198	29779
1375	25214	29759
1376	25230	29738
1377	25247	29717
1378	25263	29696
1379	25281	29677
1380	25297	29656
1381	25313	29636
1382	25331	29618
1383	25350	29599
1384	25365	29577
1385	25381	29556
1386	25396	29535
1387	25414	29516
1388	25432	29496
1389	25450	29479
1390	25468	29459
1391	25486	29440
1392	25502	29420
1393	25518	29399
1394	25537	29381
1395	25555	29362
1396	25571	29342
1397	25589	29323
1398	25608	29305
1399	25624	29285
1400	25640	29264
1401	25656	29243
1402	25673	29223
1403	25691	29204
1404	25707	29184
1405	25727	29167
1406	25745	29148
1407	25764	29131
1408	25780	29110
1409	25797	29091
1410	25814	29070
1411	25829	29049
1412	25847	29030
1413	25865	29011
1414	25884	28994
1415	25904	28977
1416	25920	28956
1417	25939	28939
1418	25955	28918
1419	25971	28897
1420	25988	28878
1421	26005	28858
1422	26025	28842
1423	26042	28822
1424	26057	28800
1425	26074	28780
1426	26091	28760
1427	26109	28742
1428	26126	28722
1429	26145	28704
1430	26162	28685
1431	26182	28668
1432	26199	28649
1433	26215	28628
1434	26231	28607
1435	26247	28587
1436	26268	28571
1437	26285	28551
1438	26303	28533
1439	26319	28512
1440	26336	28493
1441	26355	28475
1442	26373	28457
1443	26393	28440
1444	26409	28420
1445	26428	28402
1446	26445	28382
1447	26461	28362
1448	26477	28341
1449	26495	28323
1450	26514	28305
1451	26531	28285
1452	26549	28266
1453	26569	28250
1454	26588	28233
1455	26606	28214
1456	26626	28198
1457	26644	28179
1458	26661	28160
1459	26678	28140
1460	26696	28121
1461	26712	28100
1462	26730	28082
1463	26747	28063
1464	26766	28045
1465	26785	28027
1466	26803	28008
1467	26819	27989
1468	26839	27971
1469	26859	27955
1470	26875	27935
1471	26896	27919
1472	26913	27900
1473	26930	27880
1474	26946	27859
1475	26963	27840
1476	26981	27821
